2023-02-14 21:03:23,977 INFO    StreamThr :42084 [internal.py:wandb_internal():87] W&B internal server running at pid: 42084, started at: 2023-02-14 21:03:23.976950
2023-02-14 21:03:23,980 DEBUG   HandlerThread:42084 [handler.py:handle_request():144] handle_request: status
2023-02-14 21:03:23,980 INFO    WriterThread:42084 [datastore.py:open_for_write():85] open: /home/daniel/PycharmProjects/genre_classification/segregate/wandb/run-20230214_210323-kxz7yz50/run-kxz7yz50.wandb
2023-02-14 21:03:23,981 DEBUG   SenderThread:42084 [sender.py:send():336] send: header
2023-02-14 21:03:23,984 DEBUG   SenderThread:42084 [sender.py:send():336] send: run
2023-02-14 21:03:24,451 INFO    SenderThread:42084 [dir_watcher.py:__init__():216] watching files in: /home/daniel/PycharmProjects/genre_classification/segregate/wandb/run-20230214_210323-kxz7yz50/files
2023-02-14 21:03:24,451 INFO    SenderThread:42084 [sender.py:_start_run_threads():1067] run started: kxz7yz50 with start time 1676419403.974917
2023-02-14 21:03:24,451 DEBUG   SenderThread:42084 [sender.py:send_request():363] send_request: summary_record
2023-02-14 21:03:24,451 INFO    SenderThread:42084 [sender.py:_save_file():1321] saving file wandb-summary.json with policy end
2023-02-14 21:03:24,454 DEBUG   HandlerThread:42084 [handler.py:handle_request():144] handle_request: check_version
2023-02-14 21:03:24,454 DEBUG   SenderThread:42084 [sender.py:send_request():363] send_request: check_version
2023-02-14 21:03:24,578 DEBUG   HandlerThread:42084 [handler.py:handle_request():144] handle_request: run_start
2023-02-14 21:03:24,585 ERROR   HandlerThread:42084 [gpu.py:is_available():351] Error initializing NVML: Driver Not Loaded
2023-02-14 21:03:24,585 DEBUG   HandlerThread:42084 [system_info.py:__init__():31] System info init
2023-02-14 21:03:24,586 DEBUG   HandlerThread:42084 [system_info.py:__init__():46] System info init done
2023-02-14 21:03:24,586 INFO    HandlerThread:42084 [system_monitor.py:start():151] Starting system monitor
2023-02-14 21:03:24,586 INFO    SystemMonitor:42084 [system_monitor.py:_start():116] Starting system asset monitoring threads
2023-02-14 21:03:24,586 INFO    HandlerThread:42084 [system_monitor.py:probe():172] Collecting system info
2023-02-14 21:03:24,586 INFO    SystemMonitor:42084 [interfaces.py:start():168] Started cpu
2023-02-14 21:03:24,587 INFO    SystemMonitor:42084 [interfaces.py:start():168] Started disk
2023-02-14 21:03:24,587 INFO    SystemMonitor:42084 [interfaces.py:start():168] Started memory
2023-02-14 21:03:24,587 INFO    SystemMonitor:42084 [interfaces.py:start():168] Started network
2023-02-14 21:03:24,612 DEBUG   HandlerThread:42084 [system_info.py:probe():195] Probing system
2023-02-14 21:03:24,615 DEBUG   HandlerThread:42084 [system_info.py:_probe_git():180] Probing git
2023-02-14 21:03:24,621 DEBUG   HandlerThread:42084 [system_info.py:_probe_git():188] Probing git done
2023-02-14 21:03:24,621 DEBUG   HandlerThread:42084 [system_info.py:probe():241] Probing system done
